sample_ID	reads_ID	Source	Origin	Microorganism	country	clindamycin	erythromycin	linezolid	vancomycin	cefepime	cefotaxime	ceftazidime	ertapenem	imipenem	meropenem	tigecycline	colistin	sulfamethoxazole	trimethoprim
SRR3295659	SRR3295659_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295681	SRR3295681_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295870	SRR3295870_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295953	SRR3295953_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1106609	SRR1106609_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1122600	SRR1122600_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1272497	SRR1272497_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1300672	SRR1300672_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1544237	SRR1544237_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1553749	SRR1553749_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1562599	SRR1562599_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1562600	SRR1562600_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1813455	SRR1813455_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407565	SRR2407565_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295831	SRR3295831_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3295878	SRR3295878_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3932886	SRR3932886_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR3933068	SRR3933068_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1203019	SRR1203019_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1220706	SRR1220706_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1257300	SRR1257300_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1257307	SRR1257307_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1514721	SRR1514721_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1514724	SRR1514724_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1514768	SRR1514768_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1525269	SRR1525269_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
