# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Denmark
	sample_ID	reads_ID	Source	Origin	Microorganism
33	789-PRJ1111-Escherischia-coli-528-16036882_S21	DTU2017-789-PRJ1111-Escherischia-coli-528-16036882_S21_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
34	790-PRJ1111-Escherischia-coli-528-16036883_S22	DTU2017-790-PRJ1111-Escherischia-coli-528-16036883_S22_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
35	791-PRJ1111-Escherischia-coli-528-16036884_S23	DTU2017-791-PRJ1111-Escherischia-coli-528-16036884_S23_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
36	799-PRJ1111-Escherischia-coli-528-16061291_S31	DTU2017-799-PRJ1111-Escherischia-coli-528-16061291_S31_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
37	802-PRJ1111-Escherischia-coli-528-16062095_S34	DTU2017-802-PRJ1111-Escherischia-coli-528-16062095_S34_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
38	865-PRJ1111-Escherischia-coli-360-16040464_S46	DTU2017-865-PRJ1111-Escherischia-coli-360-16040464_S46_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
39	801-PRJ1111-Escherischia-coli-528-16061042_S33	DTU2017-801-PRJ1111-Escherischia-coli-528-16061042_S33_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
40	804-PRJ1111-Escherischia-coli-528-16062099_S36	DTU2017-804-PRJ1111-Escherischia-coli-528-16062099_S36_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
41	805-PRJ1111-Escherischia-coli-528-16062144_S37	DTU2017-805-PRJ1111-Escherischia-coli-528-16062144_S37_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
42	806-PRJ1111-Escherischia-coli-360-16019810_S28	DTU2017-806-PRJ1111-Escherischia-coli-360-16019810_S28_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
43	824-PRJ1111-Escherischia-coli-360-16033322_S5	DTU2017-824-PRJ1111-Escherischia-coli-360-16033322_S5_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
44	862-PRJ1111-Escherischia-coli-360-16063593_S43	DTU2017-862-PRJ1111-Escherischia-coli-360-16063593_S43_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
45	784-PRJ1111-Escherischia-coli-528-16029684_S16	DTU2017-784-PRJ1111-Escherischia-coli-528-16029684_S16_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
46	839-PRJ1111-Escherischia-coli-360-16039413_S20	DTU2017-839-PRJ1111-Escherischia-coli-360-16039413_S20_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
47	770-PRJ1111-Escherischia-coli-528-16010678_S2	DTU2017-770-PRJ1111-Escherischia-coli-528-16010678_S2_L001_R1_001.trim.fq.gz	Food	Surveillance	E.coli
48	771-PRJ1111-Escherischia-coli-528-16012052_S3	DTU2017-771-PRJ1111-Escherischia-coli-528-16012052_S3_L001_R1_001.trim.fq.gz	Food	Surveillance	E.coli
49	772-PRJ1111-Escherischia-coli-528-16021226_S4	DTU2017-772-PRJ1111-Escherischia-coli-528-16021226_S4_L001_R1_001.trim.fq.gz	Food	Surveillance	E.coli
50	774-PRJ1111-Escherischia-coli-528-16025596_S6	DTU2017-774-PRJ1111-Escherischia-coli-528-16025596_S6_L001_R1_001.trim.fq.gz	Food	Surveillance	E.coli
