# Document with the sample ids and the antimicrobials that have been tested with
sample_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR3295658,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR3295666,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295667,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR3295689,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR3295750,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 2.0,MIC: 4.0,MIC: 32.0
SRR3295802,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR3295910,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295926,MIC: 32.0,MIC: 4.0,MIC: 32.0,MIC: 0.03,MIC: 16.0,MIC: 8.0,MIC: 32.0
SRR3295934,MIC: 32.0,MIC: 2.0,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295945,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 1.0,MIC: 4.0,MIC: 32.0
SRR3932930,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3933030,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3933036,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3933071,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 32.0
SRR1752833,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.5,MIC: 2.0,MIC: 32.0,MIC: 4.0
SRR2407787,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR2407795,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR3295599,MIC: 2.0,MIC: 8.0,MIC: 4.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 32.0
SRR3932939,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 4.0,MIC: 4.0,MIC: 4.0
SRR2407540,MIC: 32.0,MIC: 8.0,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 32.0,MIC: 32.0
SRR3295659,MIC: 2.0,MIC: 8.0,MIC: 16.0,MIC: 1.0,MIC: 0.5,MIC: 32.0,MIC: 32.0
SRR3295681,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.5,MIC: 0.5,MIC: 32.0,MIC: 4.0
SRR3295870,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.5,MIC: 0.5,MIC: 32.0,MIC: 4.0
SRR3295953,MIC: 32.0,MIC: 8.0,MIC: 16.0,MIC: 1.0,MIC: 0.5,MIC: 32.0,MIC: 32.0
SRR1106609,MIC: 32.0,MIC: 32.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 16.0
SRR1122600,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 16.0
SRR1272497,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 8.0
SRR1300672,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 8.0
SRR1544237,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 1.0,MIC: 4.0,MIC: 8.0
SRR1553749,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 8.0
SRR1562599,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 8.0
SRR1562600,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 1.0,MIC: 4.0,MIC: 8.0
SRR1813455,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 8.0
SRR2407565,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 8.0
SRR3295831,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR3295878,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR3932886,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR3933068,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 8.0
SRR1203019,MIC: 32.0,,MIC: 32.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1220706,MIC: 32.0,,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR1257300,MIC: 32.0,,MIC: 32.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR1257307,MIC: 32.0,,MIC: 32.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR1514721,MIC: 32.0,,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR1514724,MIC: 32.0,,MIC: 32.0,MIC: 0.015,MIC: 0.25,MIC: 8.0,MIC: 32.0
SRR1514768,MIC: 32.0,,MIC: 32.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1525269,MIC: 32.0,,MIC: 32.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1060582,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 2.0,MIC: 4.0,MIC: 4.0
